Algorithm:		Bubble Sort	Quick Sort
Array Size:		15		15
Running Time(msec):	0		0
No. of Key Comparsions:	105		102


Input		Bubble Sort	Quick Sort
441569699	-1987964719	-1987964719
1785652493	-1575883323	-1575883323
140481521	-1304620024	-1304620024
-1987964719	-1170373306	-1170373306
-1170373306	-969118983	-969118983
1903031556	-899110008	-899110008
-1575883323	-699779429	-699779429
-899110008	-462404682	-462404682
-58433661	-308120373	-308120373
-1304620024	-58433661	-58433661
-462404682	140481521	140481521
-969118983	441569699	441569699
-308120373	534094970	534094970
534094970	1785652493	1785652493
-699779429	1903031556	1903031556
